2023-10-26 08:44:53,462 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 08:44:53,470 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 08:45:19,759 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 08:47:29,215 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 08:47:29,220 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 08:47:45,754 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 08:49:44,326 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 08:49:44,332 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 09:19:53,065 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 09:19:53,070 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 09:35:08,842 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 09:35:08,847 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 09:58:31,199 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 10:10:08,226 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 10:52:25,234 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 10:52:25,239 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 10:52:48,764 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
2023-10-26 10:52:48,769 WARN  [AbstractRemotingServer#66] [main] Server started on port 12200
2023-10-26 11:07:58,152 WARN  [AbstractConnectionFactory#185] [SOFA-CLI-CONN-com.service.RPCTestService-3-T1] [client side] bolt netty low water mark is 32768 bytes, high water mark is 65536 bytes
2023-10-26 11:18:24,364 WARN  [AbstractRemotingServer#64] [main] Prepare to start server on port 12200 
